Address,Total,AR,AISTR,ALCH
0xdad376f73a855ff53ff70b6a6881d6efb02c5e3f,14911975,14911975,0,0
0x4325d09777f68f78c5712cdccc953f739b956090,3750000,0,3750000,0
0xbb87b97cd47033dd47363f692b29298f574cf113,1258480,1258480,0,0
0x11e465c310970d535bf61dd57095519ad38877ef,1058777,0,0,1058777
0x0edcd916468922ad6bc427b9f858c9b664b8328c,799154,439082,0,360072
0x0bf9bf7b062a04f14faa27b75392bdad638fecae,89405,0,89405,0
0x21ea9d95b03e2714cf0f0ef3a2c07efcacca3785,5000000,0,0,5000000
0xfefea9427bef554cc572bc4e887a0b9642fd8f4e,4999999,4999999,0,0
0x5b791250481e6e5521073166c01f4cbca2a56825,1048245,0,1048245,0
0x754f8c5df6fb5bfc2b3001fcbe4ac5797f2fe534,12838678,0,12838678,0
0xa2a5b2cb1e767f1ce9f119e5282e56ab928a27cc,11366115,11366115,0,0
0x656bfed4a679f85eb8dbbeddfa9f92664aac9b77,6464372,0,0,6464372
0xfff5d872f617443449f4b40f54e7a04f99755cf9,29157676,8368801,6361494,14427380
0xfd8bd978f198503a0ba9c5d7f7586e23fc4a4b40,417293,417293,0,0
0xe601d91bc64025b2e59504bd5389065238a10389,1000000,1000000,0,0
0x1c57fbfe1aa0db3bf086577456b6e209bf199572,2292850,0,2292850,0
0x754f8c5df6fb5bfc2b3001fcbe4ac5797f2fe534,12838678,0,12838678,0
0xa5c2c411425d6e4a491aed85e1ee565f886c70f9,976732,0,976732,0
0x0ca6cadb6a8ca4199788b9a060c3285fe7b897fd,2535988,0,2535988,0
0x1d9b0a102a0afd785cb263d29f68f7569d6e5fbb,731717,162560,361300,207855
0x44236efb5bb9dbe73507dc9ece0ae4c53a7a193d,2702040,1202040,0,1500000
0x7a55aae410ff412f39b023e9b5e2e5dbc9a58f68,2602312,1120143,1482168,0
0x2beae9f24b0e70f070371993acaf31ebec92f66d,528086,528086,0,0
0xef07e66140e8cc47b1fd1ecc8dea02dd894a768b,688885,0,0,688885
0x0ca6cadb6a8ca4199788b9a060c3285fe7b897fd,2535988,0,2535988,0
0x823b6b8da270906f0a231223e46edb5bdea3ff13,2853409,1080462,0,1772947
0x626358e33076453160a58ebd03cbaef3449f1964,23288033,3958603,4200662,15128766
0xf5677b22454dee978b2eb908d6a17923f5658a79,50906823,0,0,50906823
0xe9fa8c1b4e0457844449b240dafbf97b7e748a2d,7739572,1149405,343804,6246361
0x197ecb5c176ad4f6e77894913a94c5145416f148,45543504,0,45543504,0
0x754f8c5df6fb5bfc2b3001fcbe4ac5797f2fe534,12838678,0,12838678,0
0xe584ba1f5085183e87ddb43848a6098ab2d1673a,2042965,2042965,0,0
0x44236efb5bb9dbe73507dc9ece0ae4c53a7a193d,2702040,1202040,0,1500000
0xe86531c69eb9301819d907601dbb4c133e008f19,1630933,1630933,0,0
0x632b01dc743fcf28a542ef09fb6316c02cad3a39,822057,0,822057,0
0x80e8bba3082f96832851266be6daaae3bf5d48eb,3750000,0,3750000,0
0xb70399fc376c1b3cf3493556d2f14942323ef44f,8427669,4296722,0,4130946
0xeae5886c57fad76d569381b3812cd31348b7c3d0,3750000,0,3750000,0
0x336b2ae0b25f2553897480620dc3e5cec2211ca3,8834656,8834656,0,0
0xceebc4cf5421984b78c0df39cdd29493cf99d3e3,14013866,6004897,8008968,0
0x48bf543b838d24eb93654027054a3d2c52449bc2,623483,287022,0,336461
0xf6f182e6d4e2b19e67c9c249689011fd53e76421,4756393,0,3542393,1213999
0xfff5d872f617443449f4b40f54e7a04f99755cf9,29157676,8368801,6361494,14427380
0x8f86d51142cb45e49498d144abb2304922dc39af,3694985,3694985,0,0
0xf7abe3ec7937df8cb92de335feaa9e9c76842148,544242,0,0,544242
0xfff5d872f617443449f4b40f54e7a04f99755cf9,29157676,8368801,6361494,14427380
0x26ca66a755344c36214c227c3033861d5268506d,2150551,1475209,379260,296081
0x229fda19dd94bae9057d4c71aff3cbe6d53dafec,1699312,0,1699312,0
0x0babf2dcc0b55ac2e6f06129775ab08765ff2ae3,3219984,0,0,3219984
0x2616e29e5c2a74022ad7bd98a09249aff22557b2,8028812,0,8028812,0
0xd56ee5ba5a52e15f309108bdd6247c69b4f624c2,2290039,2290039,0,0
0x348a988bf8211ea395164ae504ca4101943fbee1,18303424,11295054,0,7008370
0x813f98acba50e959a2b561e5d1500b114511a612,2467273,2467273,0,0
0x4a33421b83e83cb50235d725f919ffb9b67d2ca0,500000,500000,0,0
0xa997faa3ee748067d1d6e17e16333dd8ad29535e,15897991,15897991,0,0
0xb3b8092d87cedad879514059912c35c777c1437f,9320642,0,977572,8343069
0x62010bd90c9b427b6d45bbde1db16bb50e6177b3,3750000,0,3750000,0
0x823b6b8da270906f0a231223e46edb5bdea3ff13,2853409,1080462,0,1772947
0xb1b8c70f080cc663b5a1a9d9d36760cf17e019b9,967886,967886,0,0
0xceebc4cf5421984b78c0df39cdd29493cf99d3e3,14013866,6004897,8008968,0
0x92092fbca11e8f28d459e78f78e27f013b7798c5,20000000,0,0,20000000
